CUSTOMERID,CUST_CONSTTYPE_ID,CUST_CATEGORYID,PROFESSION,AGE,SEX,MARITAL_STATUS,QUALIFICATION,NO_OF_DEPENDENT,OCCUPATION,POSITION,GROSS_INCOME,PRE_JOBYEARS,NETTAKEHOMEINCOME,BRANCH_PINCODE
12001048,3,4,,37,F,M,UG,0,,,109047.12,,109047.12,400070
12001049,1,4,,34,F,M,POSTGRAD,0,,,326371.20,,326371.20,400070
12001050,3,4,,45,F,M,GRAD,0,,,149598.99,,149599.00,400070
12001051,1,5,,37,F,M,GRAD,0,,,150129.58,,150129.58,400070
12001052,2,4,,43,F,M,GRAD,0,,,92804.22,,92804.23,400070
12001053,1,4,,50,F,M,POSTGRAD,0,,,583376.64,,583376.65,400070
12001054,1,5,,37,M,S,POSTGRAD,0,,DM,73404.36,7,73404.36,400070
12001055,3,4,,33,M,M,GRAD,0,,,69527.76,,69527.76,400070
12001056,1,5,,33,M,M,GRAD,0,,,49542.76,,49542.76,400070
12001058,1,5,,40,M,M,POSTGRAD,0,,,264860.11,15,264860.11,400070
12001059,1,5,,54,M,M,GRAD,0,,,67483.25,19,67483.25,400070
12001060,1,5,,47,M,M,GRAD,0,,,195188.09,0,195188.10,400070
12001062,1,4,,43,M,M,GRAD,0,,,611043.65,,611043.65,400070
12001063,1,5,,30,F,M,GRAD,0,,,1185879.06,0,1185879.06,400070
12001064,1,4,,47,M,M,GRAD,0,,,99791.13,,99791.13,400070
12001066,1,5,,38,M,M,GRAD,0,,,97584.23,11,97584.23,400070
12001067,1,4,,35,M,M,null,0,,,294865.00,,294865.00,400070
12001068,1,5,,36,M,M,null,0,,,157636.06,6,157636.06,400070
12001069,3,6,,34,M,M,POSTGRAD,0,,,81829.69,,81829.69,400070
12001070,4,8,,,,,,0,,,0.00,,0.00,400070
12001071,1,4,,29,M,M,OTHERS,0,,,1540694.94,,1540694.93,400070
12001072,1,5,,39,M,M,OTHERS,0,,,55040.51,7,55040.51,400070
12001076,1,4,,35,M,M,POSTGRAD,0,,,113813.99,,113813.99,400070
12001077,1,4,,32,M,S,OTHERS,0,,,103025.18,,103025.17,400070
12001078,1,4,,43,M,M,OTHERS,2,,,269211.12,,269211.11,400070
12001079,1,4,,38,F,M,GRAD,0,,,1273996.49,,1273996.49,400070
12001081,1,7,,70,M,M,OTHERS,0,,,0.12,,0.12,400070
12001082,2,8,,,,,,0,,,0.00,,0.00,400070
12001086,4,8,,,,,,0,,,0.00,,0.00,400070
12001087,4,8,,,,,,0,,,0.00,,0.00,400070
12001088,2,8,,,,,,,,,0.00,,0.00,#N/A
12001090,1,4,,40,M,M,GRAD,0,,,1164695.15,,1164695.15,400070
12001091,1,5,,31,M,M,POSTGRAD,2,,AVP,45478.75,8,45478.75,400070
12001092,1,4,,45,M,M,GRAD,2,,,131453.46,,131453.46,400070
12001093,1,5,,31,M,M,PRF,1,,,117922.28,1,117922.28,400070
12001094,1,4,,40,M,M,GRAD,2,,,179744.14,,179744.14,400070
12001096,1,4,,26,M,S,GRAD,0,,,465401.70,,465401.70,400070
12001098,1,4,,54,M,M,GRAD,0,,,569767.16,,569767.15,400070
12001099,4,8,,,,,,0,,,0.00,,0.00,110001
12001102,1,4,,59,F,M,GRAD,0,,,3936067.30,,3936067.30,400070
12001103,1,4,,52,M,M,UG,0,,,100522.26,,100522.26,400070
12001104,1,4,,39,M,M,PRF,1,,,109258.30,,109258.30,400070
12001105,1,4,,35,M,M,POSTGRAD,0,,,368943.56,,368943.57,400070
12001106,4,8,,,,,,0,,,0.00,,0.00,400070
12001107,1,4,,50,M,M,GRAD,0,,,109830.30,,109830.30,400070
12001108,1,4,,49,M,S,GRAD,1,,,49431.67,,49431.67,400070
12001109,6,8,,,,,,,,,0.00,,0.00,#N/A
12001110,1,4,,48,F,M,GRAD,1,,,403258.56,,403258.56,110001
12001111,1,5,,51,M,M,GRAD,1,,,95902.78,30,95902.78,560095
12001121,1,4,,47,M,M,POSTGRAD,2,,,2558473.77,,2558473.77,110001
12001123,1,4,,38,M,M,GRAD,0,,,201371.81,,201371.81,400070
12001124,1,5,,38,M,M,POSTGRAD,2,,,0.00,,0.00,400070
12001125,1,5,,29,M,M,UG,1,,,48828.14,1,48828.14,400070
12001126,1,5,,35,M,M,GRAD,2,,,505851.11,3,505851.11,400070
12001128,1,4,,55,M,S,GRAD,1,,,112957.50,,112957.50,400070
12001129,1,5,,27,M,M,POSTGRAD,0,,,114027.92,2,114027.92,400070
12001130,4,8,,,,,,0,,,0.00,,0.00,400070
12001134,1,4,,34,M,M,GRAD,2,,,313616.19,,313616.19,400070
12001135,1,4,,57,M,M,GRAD,2,,,172925.26,,172925.26,400070
12001136,1,5,,25,M,S,GRAD,0,,,131941.38,5,131941.38,400070
12001137,1,4,,34,M,M,GRAD,2,,,101314.95,,101314.95,110001
12001140,1,4,,51,M,M,GRAD,1,,,580276.35,,580276.35,400070
12001141,1,5,,52,M,M,PRF,3,,,152464.09,0,152464.09,400070
12001142,1,5,,36,M,M,GRAD,4,,,121150.07,6,121150.07,400070
12001143,1,4,,38,M,M,GRAD,0,,,522465.95,,522465.95,400070
12001144,1,4,,41,M,M,GRAD,1,,,339816.80,,339816.80,400070
12001145,1,4,,48,M,M,GRAD,0,,,0.00,,0.00,411005
12001146,1,4,,35,M,M,POSTGRAD,0,,,96383.39,,96383.39,400070
12001147,1,5,,27,M,S,GRAD,0,,,109303.34,4,109303.34,560095
12001148,1,4,,38,M,M,POSTGRAD,1,,,0.00,,0.00,400070
12001149,4,8,,,,,,0,,,0.00,,0.00,400070
12001138,1,4,,40,F,M,GRAD,0,,,101157.31,,101157.31,411005
12001152,1,6,,38,F,S,PRF,0,,,85419.23,,85419.23,110001
12001153,1,5,,34,M,M,GRAD,2,,,231535.84,4,231535.84,400070
12001154,1,5,,42,M,M,PRF,2,,DGM,231002.88,16,231002.88,110001
12001155,1,4,,50,F,M,GRAD,10,,,2623211.15,,2623211.15,400070
12001156,1,5,,36,M,M,POSTGRAD,1,,,293224.09,0,293224.09,560095
12001157,1,4,,42,M,M,UG,0,,,169829.58,,169829.58,400070
12001158,1,6,,32,M,M,PRF,0,,,3524716.76,,3524716.76,400070
12001159,4,8,,,,,,0,,,0.00,,0.00,110001
12001162,1,5,,30,F,M,GRAD,1,,,16622.35,7,16622.35,400070
12001163,1,4,,44,M,M,GRAD,0,,,61713.77,,61713.77,400070
12001164,1,4,,31,F,M,GRAD,1,,,1090859.54,,1090859.54,560095
12001166,1,5,,43,M,M,GRAD,4,,,272410.12,21,272410.12,400070
12001167,1,5,,53,M,M,UG,2,,,0.00,,0.00,400070
12001168,1,5,,33,M,M,GRAD,0,,,0.00,,0.00,400070
12001169,1,4,,43,M,M,GRAD,2,,,383231.27,,383231.27,400070
12001171,1,4,,47,M,M,GRAD,0,,,2753936.74,,2753936.73,400070
12001173,1,4,,31,M,M,GRAD,0,,,205069.50,,205069.50,400070
12001174,1,5,,42,M,M,POSTGRAD,3,,,483080.96,20,483080.96,400070
12001178,1,5,,30,M,M,POSTGRAD,1,,,198387.23,4,198387.23,411005
12001179,1,4,,55,M,M,GRAD,0,,,108286.09,,108286.09,411005
12001180,1,4,,39,M,M,GRAD,0,,,255745.74,,255745.74,411005
12001182,1,5,,34,M,M,GRAD,1,,,251300.40,0,251300.40,560095
12001183,1,4,,50,F,M,GRAD,2,,,195157.55,,195157.55,400070
12001184,1,4,,43,M,M,UG,2,,,85967.20,,85967.20,411005
12001185,1,5,,43,M,M,POSTGRAD,2,,,936433.26,9,936433.26,110001
12001186,1,5,,53,M,M,GRAD,3,,,94469.04,19,94469.04,110001
12001187,4,8,,,,,,0,,,0.00,,0.00,400070
12001188,1,4,,39,M,M,UG,2,,,0.00,,0.00,400070
12001189,1,4,,40,M,M,GRAD,2,,,320190.36,,320190.36,400070
12001190,1,6,,37,M,M,POSTGRAD,2,,,0.00,,0.00,400070
12001191,1,4,,52,M,M,UG,1,,,145008.66,,145008.66,400070
12001198,1,5,,24,M,S,PRF,0,,,40182.18,0,40182.18,380015
12001199,1,5,,35,M,M,PRF,3,,,97362.04,9,97362.04,400070
12001201,1,4,,54,M,M,UG,0,,,923520.61,,0.00,400070
12001202,1,4,,40,M,M,GRAD,3,,,21018.14,12,21018.14,400070
12001204,1,4,,38,M,M,POSTGRAD,1,,,415144.32,,415144.32,400070
12001205,1,4,,57,M,M,GRAD,1,,,137743.89,,137743.89,411005
12001206,1,5,,31,M,S,GRAD,0,,,144738.43,4,144738.43,411005
12001208,1,5,,28,M,S,POSTGRAD,2,,,100932.12,0,100932.12,560095
12001209,1,5,,28,M,M,GRAD,0,,,78071.89,3,78071.89,400070
12001210,1,4,,34,F,S,PRF,2,,,188035.80,,188035.80,400070
12001212,1,6,,45,M,M,PRF,0,,,1247395.15,,1247395.15,400070
12001213,4,8,,,,,,,,,0.00,,0.00,#N/A
12001215,1,5,,33,M,M,GRAD,2,,,136472.29,0,136472.29,380015
12001217,1,4,,43,M,M,OTHERS,0,,,27760.09,,27760.09,400070
12001218,1,4,,37,M,M,GRAD,2,,,282275.14,,282275.14,400070
12001219,1,4,,30,M,S,POSTGRAD,0,,,0.00,,0.00,560095
12001220,4,8,,,,,,0,,,0.00,,0.00,110001
12001221,1,5,,51,M,M,POSTGRAD,1,,,109657.65,0,109657.65,380015
12001225,1,6,,56,M,M,PRF,2,,,101756.33,,101756.33,411005
12001226,1,4,,39,M,M,GRAD,4,,,137123.48,,137123.48,400070
12001227,1,4,,31,M,M,UG,1,,,193390.92,,193390.92,411005
12001228,1,4,,29,M,S,GRAD,0,,,84422.37,,84422.37,560095
12001229,1,4,,30,M,M,GRAD,0,,,30596.41,,30596.41,411005
12001230,1,4,,39,M,M,GRAD,0,,,719227.28,,719227.28,400070
12001231,1,5,,41,M,M,GRAD,1,,,134591.17,13,134591.17,400070
12001233,1,4,,59,M,M,GRAD,0,,,623405.57,,623405.57,400070
12001234,1,4,,31,M,M,GRAD,0,,,306542.08,,306542.08,400070
12001235,1,4,,36,M,M,GRAD,0,,,147305.64,,147305.64,400070
12001236,1,5,,27,M,S,POSTGRAD,0,,,56204.01,0,56204.01,400070
12001237,1,4,,43,M,M,GRAD,2,,,0.00,,0.00,400070
12001238,1,4,,42,M,M,GRAD,0,,,68062.75,,68062.75,400070
12001240,4,8,,,,,,0,,,0.00,,0.00,400070
12001244,1,5,,43,M,M,GRAD,0,,,222341.91,15,222341.91,411005
12001247,1,5,,25,M,M,GRAD,0,,,95542.46,0,95542.46,560095
12001248,1,5,,52,F,M,GRAD,0,,,269002.18,14,269002.18,400070
12001249,1,4,,35,M,M,GRAD,2,,,154525.37,,154525.37,400070
12001252,1,5,,50,M,M,UG,2,,,47729.20,0,47729.20,560095
12001253,1,5,,30,M,M,POSTGRAD,0,,,51623.56,,51623.56,411005
12001254,1,4,,41,M,M,GRAD,0,,,44036.01,,44036.01,411005
12001255,1,5,,34,M,M,POSTGRAD,0,,,35656.15,,35656.15,110001
12001256,1,4,,55,M,M,POSTGRAD,1,,,1607033.56,,1607033.56,400070
12001257,1,4,,36,M,M,GRAD,0,,,22552.84,,22552.84,560095
12001258,1,5,,32,M,M,GRAD,0,,,108093.30,8,108093.30,400070
12001259,1,4,,33,M,M,GRAD,0,,,332600.33,,332600.32,400070
12001260,3,4,,38,M,M,POSTGRAD,0,,,78951.64,,78951.64,400070
12001261,1,4,,50,M,M,OTHERS,0,,,107468.76,,107468.76,411005
12001262,1,5,,31,M,M,GRAD,1,,,47672.15,4,47672.15,411005
12001263,1,5,,36,M,S,GRAD,0,,,79250.40,1,79250.40,400070
12001264,1,4,,47,M,M,POSTGRAD,0,,,81684.87,,81684.88,560095
12001265,1,5,,28,M,M,GRAD,0,,,23194.27,,23194.27,110001
12001267,1,4,,27,M,M,GRAD,1,,,17493.10,,17493.10,400070
12001266,1,5,,37,M,M,GRAD,0,,,185261.40,10,185261.40,400070
12001268,1,4,,42,M,M,GRAD,0,,,54681.70,,54681.70,411005
12001270,1,4,,48,M,M,GRAD,0,,,64654.80,,64654.80,411005
12001272,1,5,,25,M,M,PRF,1,,,24936.52,2,24936.52,380015
12001273,1,4,,30,M,M,GRAD,3,,,52290.13,7,52290.13,400070
12001274,1,4,,31,M,M,GRAD,2,,,32902.40,,32902.40,380015
12001275,1,4,,29,M,S,GRAD,0,,,125301.15,,125301.15,400070
12001276,1,4,,45,M,M,GRAD,0,,,360345.52,,360345.52,400070
12001277,1,5,,32,M,M,GRAD,0,,,206773.47,5,206773.47,400070
12001278,1,4,,49,M,M,GRAD,0,,,112597.19,,112597.19,380015
12001279,1,5,,28,M,S,POSTGRAD,0,,,0.00,,0.00,400070
12001280,1,6,,53,M,M,PRF,2,,,34886.59,,34886.58,110001
12001281,1,4,,39,M,M,UG,0,,,57121.30,,57121.30,400070
12001282,1,5,,30,M,M,PRF,2,,,171303.86,0,171303.86,560095
12001285,1,5,,56,M,M,GRAD,0,,,70350.72,,70350.72,380015
12001286,1,4,,34,F,M,GRAD,0,,,32026.77,3,32026.77,500034
12001287,1,5,,38,F,M,UG,0,,,62701.62,11,62701.62,400070
12001288,1,4,,39,M,M,GRAD,0,,,333399.93,,333399.93,400070
12001289,1,5,,39,M,M,GRAD,0,,,172649.02,6,172649.02,400070
12001304,4,8,,,,,,0,,,0.00,,0.00,400070
12001305,1,4,,34,M,M,UG,0,,,223003.98,,223003.98,411005
12001306,1,5,,36,M,M,GRAD,0,,,45098.93,7,45098.93,411005
12001307,1,4,,48,M,M,GRAD,0,,,53481.04,,53481.04,110001
12001308,1,4,,44,M,M,UG,2,,,29625.07,,29625.07,400070
12001309,1,4,,30,M,M,UG,2,,,38961.07,,38961.07,400070
12001310,1,5,,41,M,M,POSTGRAD,0,,,0.00,,0.00,110001
12001311,1,4,,54,M,M,PRF,3,,,1726490.17,,1726490.17,400070
12001312,1,5,,28,M,S,POSTGRAD,2,,,32748.40,,32748.39,400070
12001313,1,4,,42,M,M,UG,3,,,472909.68,,472909.68,400070
12001314,1,4,,44,M,M,UG,1,,,69661.63,,69661.63,400070
12001315,1,4,,56,M,M,GRAD,1,,,207522.62,,207522.62,400070
12001316,1,4,,48,M,M,OTHERS,0,,,4127027.62,,4127027.62,411005
12001317,4,8,,,,,,0,,,0.00,,0.00,411005
12001318,1,4,,51,M,M,UG,0,,,63725.50,,63725.50,411005
12001319,1,4,,70,M,M,POSTGRAD,1,,,622907.85,,622907.85,110001
12001321,1,6,,43,M,M,PRF,0,,,122206.98,,122206.98,400070
12001322,1,4,,45,M,M,GRAD,0,,,17035.08,,17035.08,400070
12001323,1,4,,44,M,M,POSTGRAD,0,,,1974166.32,,1974166.32,400070
12001324,1,5,,36,M,M,OTHERS,0,,,169879.13,,169879.13,411005
12001327,1,4,,57,M,M,GRAD,0,,,0.00,,0.00,380015
12001329,1,4,,26,M,S,OTHERS,0,,,76552.57,,76552.57,380015
12001330,1,4,,42,M,M,GRAD,0,,,0.00,,0.00,380015
12001332,1,5,,38,M,M,GRAD,0,,,0.00,,0.00,560095
12001333,1,4,,41,M,M,GRAD,2,,,180179.89,,180179.89,110001
12001334,1,5,,50,M,M,POSTGRAD,3,,,100948.63,0,100948.63,560095
12001335,1,4,,31,M,M,GRAD,0,,,79152.82,,79152.82,400070
12001336,1,4,,44,M,M,GRAD,0,,,6550.78,,6550.78,400070
12001337,1,5,,35,M,M,POSTGRAD,0,,,83210.07,,83210.07,110001
12001340,1,5,,54,M,M,PRF,2,,,43202.79,0,43202.79,411005
12001343,1,5,,46,M,M,GRAD,0,,,52545.35,15,52545.35,411005
12001345,1,4,,35,M,M,PRF,0,,,0.00,,0.00,411005
12001346,1,5,,34,M,S,GRAD,0,,,84857.74,0,84857.74,400070
12001348,1,4,,67,M,M,UG,2,,,445227.29,,445227.29,400070
12001363,4,8,,,,,,0,,,0.00,,0.00,400070
12001364,1,4,,52,M,M,GRAD,0,,,88487.88,,88487.88,400070
12001365,1,4,,51,M,M,GRAD,0,,,237539.35,,237539.35,411005
12001366,1,5,,33,M,M,GRAD,0,,,75064.79,,75064.79,110001
12001367,1,4,,44,M,M,GRAD,0,,,273788.31,,273788.31,411005
12001368,1,5,,30,M,M,PRF,2,,,65566.09,0,65566.09,411005
12001369,1,5,,33,M,M,GRAD,0,,,74683.46,,74683.46,411005
12001373,1,5,,41,M,M,POSTGRAD,0,,,72951.34,,72951.34,411005
12001374,1,5,,45,M,M,GRAD,0,,,69476.97,,69476.97,380015
12001376,1,4,,36,M,M,GRAD,0,,,57978.60,,57978.60,110001
12001377,1,4,,30,M,M,GRAD,1,,,54731.24,,54731.24,400070
12001379,1,5,,55,M,M,GRAD,0,,,64656.31,,64656.31,400070
12001381,1,4,,31,M,S,GRAD,0,,,209396.23,,209396.23,400070
12001383,1,4,,47,M,M,GRAD,0,,,400119.35,,400119.35,400070
12001384,1,4,,26,M,S,GRAD,0,,,392930.40,,392930.40,400070
12001385,1,4,,55,M,M,UG,1,,,67870.58,,67870.58,400070
12001386,1,4,,41,M,M,GRAD,1,,,140507.78,,140507.78,400070
12001388,1,4,,32,M,M,GRAD,0,,,49068.35,,49068.35,400070
12001389,1,4,,43,M,M,UG,2,,,192934.53,,192934.53,400070
12001392,1,4,,50,M,M,OTHERS,0,,,303536.49,,303536.49,411005
12001390,1,5,,35,M,M,POSTGRAD,0,,,39884.93,,39884.93,500034
12001394,1,4,,34,M,M,GRAD,0,,,646693.67,,646693.67,400070
12001396,4,8,,,,,,0,,,0.00,,0.00,400070
12001397,1,4,,59,M,M,UG,0,,,0.12,,0.12,400070
12001398,1,4,,48,M,M,GRAD,0,,,692525.23,,692525.23,400070
12001400,4,8,,,,,,0,,,0.00,,0.00,400070
12001401,1,4,,39,M,M,GRAD,2,,,70744.06,,70744.06,400070
12001402,1,4,,39,M,M,GRAD,2,,,538834.58,,538834.58,400070
12001403,1,5,,46,M,M,PRF,0,,,120103.66,0,120103.66,400070
12001404,1,5,,42,M,M,GRAD,1,,,123062.72,4,123062.72,400070
12001405,1,4,,47,F,M,GRAD,0,,,198041.93,,198041.93,411005
12001406,1,5,,45,M,M,GRAD,0,,,105402.98,,105402.98,411005
12001407,1,5,,23,F,M,GRAD,0,,,37503.87,0,37503.87,411005
12001408,1,5,,47,M,M,GRAD,0,,,75178.89,0,75178.89,560095
12001409,1,5,,35,M,M,GRAD,0,,,78067.38,3,78067.38,400070
12001410,1,5,,44,M,M,OTHERS,0,,,230181.67,22,230181.67,380015
12001413,1,4,,37,M,M,GRAD,0,,,349770.39,,349770.39,411005
12001414,1,5,,47,F,M,GRAD,0,,,34619.88,,34619.88,411005
12001417,1,5,,38,M,M,GRAD,0,,,127610.14,16,127610.14,380015
12001420,4,8,,,,,,0,,,0.00,,0.00,411005
12001421,1,4,,30,M,M,GRAD,0,,,57670.78,,57670.78,411005
12001422,1,4,,41,F,M,GRAD,0,,,93674.85,,93674.85,411005
12001423,1,5,,47,M,M,POSTGRAD,0,,,68933.50,13,68933.50,411005
12001425,1,4,,52,F,M,UG,0,,,143940.11,,143940.11,380015
12001426,1,4,,35,M,M,GRAD,0,,,282311.17,,282311.17,400070
12001429,1,4,,60,M,M,UG,3,,,190413.91,,190413.91,380015
12001430,1,4,,49,M,M,GRAD,0,,,35522.16,,35522.16,411005
12001431,1,4,,37,M,M,OTHERS,0,,,108980.56,,108980.56,560095
12001432,1,4,,46,M,M,GRAD,0,,,83928.44,,83928.44,400070
12001433,1,5,,30,M,M,POSTGRAD,0,,,190518.94,0,190518.94,400070
12001434,1,5,,42,M,M,POSTGRAD,0,,,79448.57,3,79448.57,400070
12001435,1,4,,24,M,S,GRAD,0,,,35415.57,,35415.57,400070
12001436,1,4,,48,M,M,UG,0,,,71473.69,,71473.69,400070
12001437,1,4,,51,M,M,PRF,0,,,107932.66,,107932.66,400070
12001440,1,5,,34,M,M,PRF,1,,,75057.28,0,75057.28,400070
12001441,1,5,,39,F,M,GRAD,0,,,41709.00,0,41709.00,400070
12001442,1,5,,41,M,M,GRAD,0,,,222067.17,8,222067.17,560095
12001443,1,4,,37,M,S,PRF,0,,,65706.52,,65706.52,400070
12001444,1,5,,28,M,M,GRAD,0,,SROF,51519.97,,51519.97,380015
12001445,1,4,,55,M,M,POSTGRAD,0,,,519272.70,,519272.70,400070
12001446,1,5,,29,M,S,GRAD,0,,OTH,25262.56,,25262.56,411005
12001447,1,4,,42,M,M,UG,0,,,637136.43,,637136.43,411005
12001448,1,5,,29,M,S,GRAD,0,,,53637.55,,53637.55,411005
12001449,1,5,,45,M,M,POSTGRAD,0,,,38604.70,16,38604.70,411005
12001450,1,5,,35,M,M,GRAD,0,,,41930.44,,41930.44,411005
12001452,1,4,,35,M,M,GRAD,0,,,97004.73,,97004.73,411005
12001451,1,4,,29,M,S,GRAD,0,,,32169.39,,32169.39,411005
12001454,4,8,,,,,,,,,0.00,,0.00,#N/A
12001455,1,6,,34,M,M,PRF,0,,,159776.91,,159776.91,560095
12001456,1,5,,35,M,M,POSTGRAD,0,,SM,70828.88,0,70828.88,400070
12001459,1,4,,25,M,S,GRAD,0,,,61949.47,,61949.47,400070
12001460,1,4,,35,M,M,GRAD,0,,,62414.87,,62414.87,400070
12001461,1,5,,45,M,M,POSTGRAD,0,,,315261.61,5,315261.61,560095
12001463,1,5,,29,F,M,POSTGRAD,0,,,107477.77,4,107477.77,560095
12001464,1,4,,41,F,M,GRAD,0,,,186435.42,,186435.42,400070
12001465,1,5,,47,M,M,GRAD,0,,,49256.39,,49256.39,411005
12001466,1,5,,33,M,M,PRF,0,,,71636.21,,71636.21,411005
12001468,1,4,,41,M,M,PRF,0,,,57942.51,,57942.51,400070
12001469,1,4,,40,M,M,GRAD,0,,,95674.58,,95674.58,560095
12001470,1,5,,34,M,M,GRAD,2,,,0.00,,0.00,400070
12001471,1,4,,52,M,M,UG,0,,,61201.82,,61201.82,411005
12001472,1,4,,44,M,M,UG,0,,,81112.82,,81112.82,560095
12001476,1,5,,27,M,S,POSTGRAD,2,,,52545.35,0,52545.35,400070
12001475,1,4,,43,F,M,GRAD,0,,,171778.27,,171778.27,400070
12001477,1,5,,28,M,S,GRAD,0,,,87050.76,,87050.76,411005
12001478,1,5,,42,M,M,GRAD,0,,,170871.48,3,170871.48,400070
12001479,1,4,,42,M,M,GRAD,0,,,12307.62,,12307.62,500034
12001482,1,5,,52,M,M,GRAD,0,,,41663.96,,41663.96,500034
12001483,1,6,,44,M,M,PRF,0,,,121094.52,,121094.52,400070
12001484,1,6,,46,F,M,PRF,2,,,811950.94,,811950.94,110001
12001485,1,4,,39,M,S,POSTGRAD,0,,,4669941.22,,4669941.22,400070
12001487,1,4,,57,M,M,UG,0,,,57468.60,,57468.60,380015
12001489,1,5,,29,M,S,POSTGRAD,0,,,176402.26,0,176402.26,400070
12001490,1,4,,48,M,M,GRAD,0,,,2817905.19,,2817905.19,400070
12001492,1,4,,60,M,M,GRAD,0,,,119228.41,,119228.41,400070
12001496,1,4,,47,M,M,POSTGRAD,0,,,539565.71,,539565.71,400070
12001497,1,5,,32,M,M,GRAD,0,,,73173.16,5,73173.16,560095
12001498,1,5,,34,M,M,PRF,0,,,259104.14,,259104.14,400070
12001499,1,4,,32,M,M,GRAD,0,,,100137.93,,100137.93,400070
12001500,1,4,,41,M,M,GRAD,0,,,40968.86,,40968.86,400070
12001503,1,4,,33,M,M,GRAD,0,,,57639.25,,57639.25,400070
12001504,1,4,,28,M,M,GRAD,0,,,156733.78,,156733.78,400070
12001506,2,8,,,,,,0,,,0.00,,0.00,400070
12001512,1,4,,44,M,M,GRAD,0,,,103587.91,,103587.91,400070
12001511,1,4,,49,M,M,GRAD,0,,,47234.64,,47234.64,500034
12001518,1,4,,58,M,M,UG,2,,,78581.08,,78581.08,400070
12001524,5,8,,,,,,0,,,0.00,,0.00,110001
12001529,1,5,,30,M,M,GRAD,0,,,47516.01,4,47516.01,400070
12001531,1,5,,46,M,M,POSTGRAD,1,,,206931.11,,206931.11,400070
